READ_CODE|TERM_60|TERM_ID|DESC_TYPE|RELEASE
XaZbz|Stage 2 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)|YavfE|P|2012-10-01
XaZbT|Hypertension resistant to drug therapy|Yavel|P|2012-10-01
XaZWn|Severe hypertension (Nat Inst for Health Clinical Ex 2011)|YavaE|P|2012-10-01
XaZWn|Severe hypertension|YavdR|S|2012-10-01
XaZWm|Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)|YavaD|P|2012-10-01
XaZWm|Stage 1 hypertension|YavdS|S|2012-10-01
XaZlu|Stenosis of dialysis vascular access|Yavk2|P|2012-10-01
XaZlv|Thrombosis of dialysis vascular access|Yavk3|P|2012-10-01
XaZfR|Adult T-cell leukaemia/lymphoma|Yavhi|P|2012-10-01
XaZdn|Diffuse large B-cell lymphoma|YSbMm|P|2012-10-01
XaZdF|Follicular lymphoma grade 2|YSbN1|P|2012-10-01
XaZdD|Follicular lymphoma grade 3|Yav1g|P|2012-10-01
XaZhs|Lymphoedema of uncertain aetiology|Yavin|P|2012-10-01
XaZat|Chronic sialosis of parotid gland|Yave8|P|2012-10-01
XaZaA|Epiploic appendagitis|YavcU|P|2012-10-01
XaZfN|High grade dysplasia of colon|Yavhe|P|2012-10-01
XaZSu|Streptococcal peritonitis|YavX0|P|2012-10-01
XaZSs|Staphylococcal peritonitis|YavWz|P|2012-10-01
XaZe5|Acute renal failure due to traumatic rhabdomyolysis|Yavgj|P|2012-10-01
XaZSx|Acute renal failure due to non-traumatic rhabdomyolysis|YavX4|P|2012-10-01
XaZZ2|Acute renal failure induced by solvent|Yavbd|P|2012-10-01
XaZYv|Acute renal failure induced by poison|YavbY|P|2012-10-01
XaZZ0|Acute renal failure induced by radiographic contrast media|Yavbb|P|2012-10-01
XaZUa|Acute renal failure induced by heavy metal|YavYL|P|2012-10-01
XaZUZ|Acute renal failure induced by plant toxin|YavYK|P|2012-10-01
XaZUY|Acute renal failure induced by animal toxin|YavYJ|P|2012-10-01
XaZPu|Acute renal failure induced by non-steroid anti-inflamm drug|YavVN|P|2012-10-01
XaZPt|Acute renal failure induced by cyclosporin A|YavVM|P|2012-10-01
XaZPs|Acute renal failure induced by cisplatin|YavVL|P|2012-10-01
XaZPp|Acute renal failure induced by aminoglycoside|YavVI|P|2012-10-01
XaZkZ|Adult cystinosis|YavjO|P|2012-10-01
XaZYx|Vascular complication of renal transplant|YavbZ|P|2012-10-01
XaZl0|Aneurysm of artery of transplanted kidney|Yavjh|P|2012-10-01
XaZkw|Aneurysm of vein of transplanted kidney|Yavje|P|2012-10-01
XaZe7|Stenosis of vein of transplanted kidney|Yavgk|P|2012-10-01
XaZe3|Rupture of vein of transplanted kidney|Yavgh|P|2012-10-01
XaZe2|Rupture of artery of transplanted kidney|Yavgg|P|2012-10-01
XaZWa|Urological complication of renal transplant|Yava0|P|2012-10-01
XaZfW|Impaired glucose regulation|Yavhl|P|2012-10-01
XaZml|Amyloidosis of intestine|Yavkd|P|2012-10-01
XaZml|Amyloid of intestine|Yavke|S|2012-10-01
XaZmn|Amyloidosis of large intestine|Yavkh|P|2012-10-01
XaZmn|Amyloid of large intestine|Yavki|S|2012-10-01
XaZmm|Amyloidosis of small intestine|Yavkf|P|2012-10-01
XaZmm|Amyloid of small intestine|Yavkg|S|2012-10-01
XaZd5|Amyloidosis of stomach|Yavg0|P|2012-10-01
XaZd5|Amyloid of stomach|Yavfz|S|2012-10-01
XaZHH|Sun damaged skin|YavPW|P|2012-10-01
XaZMh|Rheumatism|Y70D8|P|2012-10-01
XaZRD|Rupture of rectus femoris muscle|YavW5|P|2012-10-01
XaZYG|Infection due to ESBL producing bacteria|Yavaz|P|2012-10-01
XaZYG|Infection due to ESBL producing bacteria|Yavb0|S|2012-10-01
XaZKS|Infection due to vancomycin resistant enterococcus|YavS3|P|2012-10-01
XaZd4|Cardio-facio-cutaneous syndrome|Yavfy|P|2012-10-01
XaZWI|Cohen syndrome|YavZt|P|2012-10-01
XaZdk|Thrombus in peritoneal dialysis catheter|YavgN|P|2012-10-01
XaZmp|Anaphylactoid reaction due to haemodialysis|Yavkm|P|2012-10-01
XaZc8|Ruptured aneurysm of dialysis vascular access|YavfM|P|2012-10-01
XaZcU|Aneurysm of dialysis arteriovenous fistula|YavfZ|P|2012-10-01
XaZcd|Aneurysm of anastomotic site of dialysis AV fistula|Yavfi|P|2012-10-01
XaZcX|Aneurysm of needle site of dialysis arteriovenous fistula|Yavfc|P|2012-10-01
XaZcQ|Aneurysm of superficialised artery of dialysis AV fistula|YavfV|P|2012-10-01
XaZWY|Severe mental illness enhanced services administration|YavZy|P|2012-10-01
XaZVK|Post-exposure DTaP/IPV vaccinatn prog enhancd services admin|YavYy|P|2012-10-01
XaZeM|Admit anticoagulation emergency|Yavgw|P|2012-10-01
XaZVU|Emergency hospital admission from walk-in centre|YavZ3|P|2012-10-01
XaZJX|Admission to acute assessment unit|YavRE|P|2012-10-01
XaZhO|Referral for carpal tunnel injection|YaviT|P|2012-10-01
XaZbm|Referral for retinal photography|Yavf3|P|2012-10-01
XaZK8|Referral to safeguarding coordinator|YavRj|P|2012-10-01
XaZHI|Referral to community phlebotomist|YavPY|P|2012-10-01
XaZKi|Referral to weight management special interest GP|YavSJ|P|2012-10-01
XaZKi|Referral to weight management GPwSI|YavSK|S|2012-10-01
XaZZp|Referral to community geriatrician|Yavc6|P|2012-10-01
XaZIX|Private referral to spinal surgeon|YavQU|P|2012-10-01
XaZcf|Referral to health psychologist|Yavfk|P|2012-10-01
XaZIW|Private referral to psychologist|YavQS|P|2012-10-01
XaZKe|Referral to residential weight management programme|YavSF|P|2012-10-01
XaZh7|Referral to paediatric orthopaedic service|YaviQ|P|2012-10-01
XaZh3|Referral to paediatric ear, nose and throat service|YaviP|P|2012-10-01
XaZgz|Referral to podiatric surgery service|YaviO|P|2012-10-01
XaZGh|Referral to Single Point of Access service|YavOt|P|2012-10-01
XaZGl|Referral to orthopaedic triage service|YavOv|P|2012-10-01
XaZaU|Referral to peripheral joint orthopaedic triage service|Yavd8|P|2012-10-01
XaZaT|Referral to spinal orthopaedic triage service|Yavd7|P|2012-10-01
XaZHO|Referral to literacy service|YavPa|P|2012-10-01
XaZbR|Referral to cardiology multidisciplinary team|Yavej|P|2012-10-01
XaZJ0|Referral to teledermatology service|YavQs|P|2012-10-01
XaZlp|Referral to Angina Plan self-management programme|Yavk0|P|2012-10-01
XaZRb|Referral to community musculoskeletal service|YavWA|P|2012-10-01
XaZHd|Referral to employability service|YavPq|P|2012-10-01
XaZKj|Referral for hysteroscopy|YavSL|P|2012-10-01
XaZNj|Referral to community audiology clinic|YavUa|P|2012-10-01
XaZO4|Referral to community rheumatology clinic|YavUd|P|2012-10-01
XaZOA|Referral to community leg ulcer clinic|YavUg|P|2012-10-01
XaZO7|Referral to community neurology clinic|YavUe|P|2012-10-01
XaZRZ|Referral to community diabetes clinic|YavW7|P|2012-10-01
XaZRa|Referral to community paediatric clinic|YavW8|P|2012-10-01
XaZZw|Opportunistic verification of patient email address|YavcE|P|2012-10-01
XaZbV|Service to service in-hospital transfer|Yaven|P|2012-10-01
XaZTN|Appl urgent authorisation DOL MCA 2005|YavXK|P|2012-10-01
XaZLW|Appl standard authorisation DOL MCA 2005|YavT8|P|2012-10-01
XaZc2|Discharge by Macmillan nurse|YavfG|P|2012-10-01
XaZbX|Discharge from Social Services|Yavep|P|2012-10-01
XaZbU|Discharge from voluntary service|Yavem|P|2012-10-01
XaZbc|Discharge from community respiratory team|Yavet|P|2012-10-01
XaZOT|Discharge from family nurse partnership team|YavUy|P|2012-10-01
XaZbS|Discharge from cancer primary healthcare MDT|Yavek|P|2012-10-01
XaZiH|Prov of info about abdo aortic aneurysm screening programme|Yavit|P|2012-10-01
XaZiD|Provision of information about cervical screening programme|Yavis|P|2012-10-01
XaZhQ|Provision of information about splint|YaviU|P|2012-10-01
XaZOM|Provision of information on services for carers|YavUx|P|2012-10-01
XaZhB|Smoking cessation 12 week follow-up|YaviR|P|2012-10-01
XaZbb|Post-operative care in primary care|Yaves|P|2012-10-01
XaZOl|Consultation for complex sexual health need|YavV0|P|2012-10-01
XaZJc|Letter received from relative|YavRL|P|2012-10-01
XaZgS|Invitation for Electronic Prescription Service|YaviH|P|2012-10-01
XaZZa|Influenza vaccination invitation email|Yavbu|P|2012-10-01
XaZZd|Influenza vaccination invitation third email|Yavbx|P|2012-10-01
XaZZc|Influenza vaccination invitation second email|Yavbw|P|2012-10-01
XaZZb|Influenza vaccination invitation first email|Yavbv|P|2012-10-01
XaZJJ|Cervical smear screening SMS message text|YavQy|P|2012-10-01
XaZJJ|Cervical smear screening invitation text message|YavQz|S|2012-10-01
XaZJM|Cervical smear screening third invitation SMS message text|YavR4|P|2012-10-01
XaZJM|Cervical smear screening invitation third text message|YavR5|S|2012-10-01
XaZJL|Cervical smear screening invitation second SMS message text|YavR2|P|2012-10-01
XaZJL|Cervical smear screening invitation second text message|YavR3|S|2012-10-01
XaZJK|Cervical smear screening invitation first SMS message text|YavR0|P|2012-10-01
XaZJK|Cervical smear screening invitation first text message|YavR1|S|2012-10-01
XaZYB|Employment support indicated|Yavau|P|2012-10-01
XaZHh|Employment and support allowance status|YavPu|P|2012-10-01
XaZHu|ESA113 form paid|YavQ9|P|2012-10-01
XaZHt|ESA113 form received|YavQ8|P|2012-10-01
XaZHs|ESA113 form sent|YavQ7|P|2012-10-01
XaZHj|ESA113 form completed|YavPw|P|2012-10-01
XaZL8|CAF for children and young people action plan started|YavSj|P|2012-10-01
XaZfP|Standard authorisation deprivation liberty MCA 2005 declined|Yavhg|P|2012-10-01
XaZfO|Standard authorisation deprivation of liberty MCA 2005 given|Yavhf|P|2012-10-01
XaZbd|Declined consent for Electronic Prescription Service|Yaveu|P|2012-10-01
XaZbW|Consent given for injection|Yaveo|P|2012-10-01
XaZbY|Consent given for carpal tunnel injection|Yaveq|P|2012-10-01
XaZNm|Consent given for deactivation of automatic ICD|YavUb|P|2012-10-01
XaZMS|Consent given for Electronic Prescription Service|YavTG|P|2012-10-01
XaZGu|Declined consent for communication by email|YavP9|P|2012-10-01
XaZJb|Discharged from acute assessment unit|YavRK|P|2012-10-01
XaZbi|Palliative care handover form completed|Yavez|P|2012-10-01
XaZJE|GOS18 form forwarded to optometrist|YavQv|P|2012-10-01
XaZZC|Letter received from solicitor|Yavbf|P|2012-10-01
XaZmb|Ambulance service notified of patient on EoL care register|YavkZ|P|2012-10-01
XaZZn|Not aware of DNACPR clinical decision|Yavc3|P|2012-10-01
XaZZn|Not aware of DNACPR clinical decision|Yavc4|S|2012-10-01
XaZQp|Aware of referral|YavVj|P|2012-10-01
XaZNV|Not aware of referral|YavUU|P|2012-10-01
XaZm1|Has healthcare support worker|Yavk8|P|2012-10-01
XaZj7|Has spiritual and cultural support|Yavj3|P|2012-10-01
XaZm0|Has direct care worker|Yavk7|P|2012-10-01
XaZj9|Has social care assessor|Yavj4|P|2012-10-01
XaZiX|Has self management plan|Yaviu|P|2012-10-01
XaZhv|Has Social Services care manager|Yavip|P|2012-10-01
XaZZf|Healthcare prof would not be surprised (GSF surprise qu)|Yavbz|P|2012-10-01
XaZLd|Under care of service|YavTE|P|2012-10-01
XaZch|Under care of renal service|Yavfm|P|2012-10-01
XaZLY|Under care of health visiting service|YavTA|P|2012-10-01
XaZLc|Under care health visiting serv - Universal partnership plus|YavTD|P|2012-10-01
XaZLb|Under care of health visiting service - Universal plus|YavTC|P|2012-10-01
XaZLa|Under care of health visiting service - Universal|YavTB|P|2012-10-01
XaZKm|Not eligible for Keep Well health check|YavSN|P|2012-10-01
XaZKA|Subject of child in need plan|YavRl|P|2012-10-01
XaZIv|Subject of comprehensive geriatric assessment plan|YavQm|P|2012-10-01
XaZbE|GSF prognostic indicator stage D (red) - days prognosis|YaveM|P|2012-10-01
XaZbD|GSF prognostic indicator stage C (yellow) - weeks prognosis|YaveL|P|2012-10-01
XaZbA|GSF prognostic indicator stage B (green) - months prognosis|YaveI|P|2012-10-01
XaZb7|GSF prognostic indicator stage A (blue) - yr plus prognosis|YaveF|P|2012-10-01
XaZi1|Under care of oncologist|Yavir|P|2012-10-01
XaZhw|Under care of palliative care specialist nurse|Yaviq|P|2012-10-01
XaZd8|Unsuitable for QRISK2 cardiovascular disease risk assessment|Yavg3|P|2012-10-01
XaZd7|Unsuitable for biopsychosocial assessment|Yavg2|P|2012-10-01
XaZWz|Participates in Butterfly Scheme for dementia|YavaZ|P|2012-10-01
XaZIy|Under care of family nurse partnership team|YavQp|P|2012-10-01
XaZJW|Declines to give mobile telephone number|YavRD|P|2012-10-01
XaZJ8|Seen by GP with special interest in rheumatology|YavQt|P|2012-10-01
XaZcJ|Seen in ear care clinic|YavfQ|P|2012-10-01
XaZLD|Seen in injection clinic|YavSo|P|2012-10-01
XaZGy|Did not attend Mantoux reading|YavPD|P|2012-10-01
XaZGx|Did not attend Mantoux test|YavPC|P|2012-10-01
XaZGv|Did not attend Bacillus Calmette-Guerin vaccination|YavPA|P|2012-10-01
XaZVL|Did not attend post exposure DTaP/IPV|YavYz|P|2012-10-01
XaZem|Chaperone not offered|YavhJ|P|2012-10-01
XaZbk|Incomplete patient record received|Yavf1|P|2012-10-01
XaZPr|Duplicate patient record|YavVK|P|2012-10-01
XaZhX|LLoyd George record used for consultation|YaviY|P|2012-10-01
XaZGw|Sexually transmitted infection screening offered|YavPB|P|2012-10-01
XaZc3|Hepatitis B screening not offered|YavfH|P|2012-10-01
XaZfY|Seasonal influenza vaccination given by pharmacist|Yavhn|P|2012-10-01
XaZHy|Hepatitis B vaccination invitation|YavQD|P|2012-10-01
XaZI2|Hepatitis B vaccination verbal invitation|YavQH|P|2012-10-01
XaZI1|Hepatitis B vaccination invitation third letter|YavQG|P|2012-10-01
XaZI0|Hepatitis B vaccination invitation second letter|YavQF|P|2012-10-01
XaZHz|Hepatitis B vaccination invitation first letter|YavQE|P|2012-10-01
XaZVM|Post exposure DTaP/IPV vaccination invitation|YavZ0|P|2012-10-01
XaZlw|Does monitor blood glucose level before driving|Yavk4|P|2012-10-01
XaZHv|Using inhaled steroids - low dose|YavQA|P|2012-10-01
XaZNg|Contraceptive sheath offered|YavUZ|P|2012-10-01
XaZJY|Patient mobile telephone number unknown|YavRF|P|2012-10-01
XaZGm|Referred by community matron|YavOw|P|2012-10-01
XaZNT|Referred by residential home|YavUS|P|2012-10-01
XaZNS|Referred by nursing home|YavUR|P|2012-10-01
XaZID|Referred by lymphoedema service|YavQJ|P|2012-10-01
XaZGb|Referred by hospital ward|YavOq|P|2012-10-01
XaZGa|Referred by hospital outpatient department|YavOp|P|2012-10-01
XaZNM|Participant in research study|YavUN|P|2012-10-01
XaZZe|Patient held palliative care record|Yavby|P|2012-10-01
1zz0x|Quarter 3 2012        MARATHON|Yavfx|P|2012-10-01
XaZcg|Current palliative oncology treatment|Yavfl|P|2012-10-01
XaZPo|Current supportive care for terminal illness|YavVH|P|2012-10-01
XaZPn|Planned supportive care for terminal illness|YavVG|P|2012-10-01
XaZPZ|Intervention on development of symptoms|YavV7|P|2012-10-01
XaZZ1|Supportive care on development of symptoms|Yavbc|P|2012-10-01
XaZPe|Acute intervention on development of symptoms|YavVC|P|2012-10-01
XaZPa|Acute secondary care intervention on development of symptoms|YavV8|P|2012-10-01
XaZPb|Acute medical intervention on development of symptoms|YavV9|P|2012-10-01
XaZPc|Acute surgical intervention on development of symptoms|YavVA|P|2012-10-01
XaZPd|Oncology intervention on development of symptoms|YavVB|P|2012-10-01
XaZPW|Planned treatment|YavV5|P|2012-10-01
XaZPX|Planned palliative oncology treatment|YavV6|P|2012-10-01
XaZLA|Hospice at home service|YavSl|P|2012-10-01
p8Wq.|LOFRIC HYDRO-KIT 6Ch 4210625 paed catheter+bag+water sachet|yz5ig|P|2012-10-01
p8FH.|ALOE MEATAL 16Ch ALOEM16 12cm dilatation catheter|yz5ug|P|2012-10-01
p8h..|NELATON CATHETER STERILE (19)|yz5uq|P|2012-10-01
p8h1.|SMOOTH NELATON 8Ch SNP08 30cm paediatric catheter|yz5ur|P|2012-10-01
p8hG.|ALOE HYDRO 16Ch AHM16TT 40cm Tiemann tip male catheter|yz5v6|P|2012-10-01
p8h3.|ALOE HYDRO 10Ch AHM10 40cm male catheter|yz5ut|P|2012-10-01
p8h4.|ALOE HYDRO 12Ch AHM12 40cm male catheter|yz5uu|P|2012-10-01
p8h5.|ALOE HYDRO 14Ch AHM14 40cm male catheter|yz5uv|P|2012-10-01
p8h6.|ALOE HYDRO 16Ch AHM16 40cm male catheter|yz5uw|P|2012-10-01
p8h7.|ALOE HYDRO 8Ch AHF08 18cm female catheter|yz5ux|P|2012-10-01
p8h8.|ALOE HYDRO 10Ch AHF10 18cm female catheter|yz5uy|P|2012-10-01
p8h9.|ALOE HYDRO 12Ch AHF12 18cm female catheter|yz5uz|P|2012-10-01
p8hA.|ALOE HYDRO 14Ch AHF14 18cm female catheter|yz5v0|P|2012-10-01
p8hB.|ALOE HYDRO 6Ch AHP06 30cm paediatric catheter|yz5v1|P|2012-10-01
p8hC.|ALOE HYDRO 8Ch AHP08 30cm paediatric catheter|yz5v2|P|2012-10-01
p8hD.|ALOE HYDRO 10Ch AHP10 30cm paediatric catheter|yz5v3|P|2012-10-01
p8hE.|ALOE HYDRO 12Ch AHM12TT 40cm Tiemann tip male catheter|yz5v4|P|2012-10-01
p8hF.|ALOE HYDRO 14Ch AHM14TT 40cm Tiemann tip male catheter|yz5v5|P|2012-10-01
p8h2.|SMOOTH NELATON 10Ch SNP10 30cm paediatric catheter|yz5us|P|2012-10-01
p8gz.|SMOOTH NELATON 6Ch SNP06 30cm paediatric catheter|yz5up|P|2012-10-01
p8gT.|LOFRIC PRIMO 6Ch 4110625 20cm paed catheter+water container|yz5ih|P|2012-10-01
p8gU.|HYDROSIL GRIPPER 6Ch 72606 paed length urethral catheter|yz5ii|P|2012-10-01
p8gV.|HYDROSIL GRIPPER 8Ch 72608 paed length urethral catheter|yz5ij|P|2012-10-01
p8gW.|HYDROSIL GRIPPER 10Ch 72610 paed length urethral catheter|yz5ik|P|2012-10-01
